study_id,StudyClass,Treatment Focus (Study level),Total N Randomized (Study level),Outcome,Outcome Measure,Comparison,NCPTSD Treatment Names,Assessment Point Category,Assessment Point,Analysis Type,Effect Size 1 Detail,Effect Size 1 Type,Effect Size 1 Value,Effect Size 1 Type of Variance Measure,Effect Size 1 Variance Value or Lower Bound,Effect Size 1 Variance Upper Bound,Effect Size 1 p value,Effect Size 2 Detail,Effect Size 2 Type,Effect Size 2 Value,Effect Size 2 Type of Variance Measure,Effect Size 2 Variance Value or Lower Bound,Effect Size 2 Variance Upper Bound,Effect Size 2 p value,Military Status (Study level),Active Duty Military (Study level),Veteran Percent (Study level),Community Percent (Study level),Female Percent (Study level),Female Percent Detail  (Study level),Male Percent (Study level),Trauma Type (Study level),Trauma Detail (Study level),Risk of Bias Rating (Study level),Citation,PTSDPubs ID,Year Added to PTSD-Repository
braun1990_HAMD_AvsB_0_Comp_1,Pharmacotherapy,PTSD,16,Depression,HAM-D,A vs B,Alprazolam vs Placebo,End of Treatment,0,Completer,,,,,,,p=NS,,,,,,,,Community,,,1,,,,Mixed,"combat-related, accidents, terrorism/political violence/forced displacement",High,"Braun P, Greenberg D, Dasberg H, et al. Core symptoms of posttraumatic stress disorder unimproved by alprazolam treatment. J. Clin. Psychiatry. 1990 Jun;51(6):236-8.  PMID: 2189869.",2466,2019
brom1989_STAI_BvsD_0_NA_1,Mixed: Psychotherapy & CIH,PTSD,112,Anxiety,STAI,B vs D,Hypnotherapy vs Waitlist,End of Treatment,0,,,,,,,,p<0.05,,,,,,,,Community,,,1,0.79,,0.21,Mixed,"accidents, community/school violence, illness/medical procedure, other (loss of loved one, undefined)",High,"Brom D, Kleber RJ, Defares PB. Brief psychotherapy for posttraumatic stress disorders. J Consult Clin Psychol. 1989;57(5):607-12.  PMID: 2571625.",3090,2019
brom1989_STAI_BvsD_12_NA_1,Mixed: Psychotherapy & CIH,PTSD,112,Anxiety,STAI,B vs D,Hypnotherapy vs Waitlist,Assessment at 3 to <6 Months,12,,,,,,,,p<0.05,,,,,,,,Community,,,1,0.79,,0.21,Mixed,"accidents, community/school violence, illness/medical procedure, other (loss of loved one, undefined)",High,"Brom D, Kleber RJ, Defares PB. Brief psychotherapy for posttraumatic stress disorders. J Consult Clin Psychol. 1989;57(5):607-12.  PMID: 2571625.",3090,2019
brom1989_STAI_CvsD_0_NA_1,Mixed: Psychotherapy & CIH,PTSD,112,Anxiety,STAI,C vs D,Psychodynamic psychotherapy vs Waitlist,End of Treatment,0,,,,,,,,p<0.05,,,,,,,,Community,,,1,0.79,,0.21,Mixed,"accidents, community/school violence, illness/medical procedure, other (loss of loved one, undefined)",High,"Brom D, Kleber RJ, Defares PB. Brief psychotherapy for posttraumatic stress disorders. J Consult Clin Psychol. 1989;57(5):607-12.  PMID: 2571625.",3090,2019
brom1989_STAI_CvsD_12_NA_1,Mixed: Psychotherapy & CIH,PTSD,112,Anxiety,STAI,C vs D,Psychodynamic psychotherapy vs Waitlist,Assessment at 3 to <6 Months,12,,,,,,,,p<0.05,,,,,,,,Community,,,1,0.79,,0.21,Mixed,"accidents, community/school violence, illness/medical procedure, other (loss of loved one, undefined)",High,"Brom D, Kleber RJ, Defares PB. Brief psychotherapy for posttraumatic stress disorders. J Consult Clin Psychol. 1989;57(5):607-12.  PMID: 2571625.",3090,2019
brom1989_STAXI_AvsD_0_NA_1,Mixed: Psychotherapy & CIH,PTSD,112,Anger,STAXI,A vs D,Exposure therapy vs Waitlist,End of Treatment,0,,,,,,,,p>0.05,,,,,,,,Community,,,1,0.79,,0.21,Mixed,"accidents, community/school violence, illness/medical procedure, other (loss of loved one, undefined)",High,"Brom D, Kleber RJ, Defares PB. Brief psychotherapy for posttraumatic stress disorders. J Consult Clin Psychol. 1989;57(5):607-12.  PMID: 2571625.",3090,2019
brom1989_STAXI_AvsD_12_NA_1,Mixed: Psychotherapy & CIH,PTSD,112,Anger,STAXI,A vs D,Exposure therapy vs Waitlist,Assessment at 3 to <6 Months,12,,,,,,,,p>0.05,,,,,,,,Community,,,1,0.79,,0.21,Mixed,"accidents, community/school violence, illness/medical procedure, other (loss of loved one, undefined)",High,"Brom D, Kleber RJ, Defares PB. Brief psychotherapy for posttraumatic stress disorders. J Consult Clin Psychol. 1989;57(5):607-12.  PMID: 2571625.",3090,2019
brom1989_STAXI_BvsD_0_NA_1,Mixed: Psychotherapy & CIH,PTSD,112,Anger,STAXI,B vs D,Hypnotherapy vs Waitlist,End of Treatment,0,,,,,,,,p>0.05,,,,,,,,Community,,,1,0.79,,0.21,Mixed,"accidents, community/school violence, illness/medical procedure, other (loss of loved one, undefined)",High,"Brom D, Kleber RJ, Defares PB. Brief psychotherapy for posttraumatic stress disorders. J Consult Clin Psychol. 1989;57(5):607-12.  PMID: 2571625.",3090,2019
brom1989_STAXI_BvsD_12_NA_1,Mixed: Psychotherapy & CIH,PTSD,112,Anger,STAXI,B vs D,Hypnotherapy vs Waitlist,Assessment at 3 to <6 Months,12,,,,,,,,p>0.05,,,,,,,,Community,,,1,0.79,,0.21,Mixed,"accidents, community/school violence, illness/medical procedure, other (loss of loved one, undefined)",High,"Brom D, Kleber RJ, Defares PB. Brief psychotherapy for posttraumatic stress disorders. J Consult Clin Psychol. 1989;57(5):607-12.  PMID: 2571625.",3090,2019
brom1989_STAXI_CvsD_0_NA_1,Mixed: Psychotherapy & CIH,PTSD,112,Anger,STAXI,C vs D,Psychodynamic psychotherapy vs Waitlist,End of Treatment,0,,,,,,,,p>0.05,,,,,,,,Community,,,1,0.79,,0.21,Mixed,"accidents, community/school violence, illness/medical procedure, other (loss of loved one, undefined)",High,"Brom D, Kleber RJ, Defares PB. Brief psychotherapy for posttraumatic stress disorders. J Consult Clin Psychol. 1989;57(5):607-12.  PMID: 2571625.",3090,2019
brom1989_STAXI_CvsD_12_NA_1,Mixed: Psychotherapy & CIH,PTSD,112,Anger,STAXI,C vs D,Psychodynamic psychotherapy vs Waitlist,Assessment at 3 to <6 Months,12,,,,,,,,p>0.05,,,,,,,,Community,,,1,0.79,,0.21,Mixed,"accidents, community/school violence, illness/medical procedure, other (loss of loved one, undefined)",High,"Brom D, Kleber RJ, Defares PB. Brief psychotherapy for posttraumatic stress disorders. J Consult Clin Psychol. 1989;57(5):607-12.  PMID: 2571625.",3090,2019
brom2017_CESDHebre_AvsB_0_ITT_1,Complementary and integrative health (CIH),PTSD,63,Depression,CES-D (Hebrew version),A vs B,Somatic Experiencing vs Waitlist,End of Treatment,0,ITT,Group x Time interaction,beta,-10.68,SE,3.29,,p<0.01,,,,,,,,Community,,,1,0.507,,0.493,Mixed,"combat-related, accidents, illness/medical procedure, community/school violence terrorism/political violence/forced displacement, other (death or injury of family member, threat)",Medium,"Brom D, Stokar Y, Lawi C, et al. Somatic experiencing for posttraumatic stress disorder: a randomized controlled outcome study. J Trauma Stress. 2017 Jun;30(3):304-12. doi: 10.1002/jts.22189. PMID: 28585761.",48274,2019
bryant2003_BDIII_AvsB_0_Comp_1,Psychotherapy,PTSD,58,Depression,BDI-II,A vs B,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Imaginal exposure,End of Treatment,0,Completer,,,,,,,p<0.05,,,,,,,,Community,,,1,0.52,,0.48,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. Imaginal exposure alone and imaginal exposure with cognitive restructuring in treatment of posttraumatic stress disorder. J Consult Clin Psychol. 2003 Aug;71(4):706.  PMID: 12924676.",25807,2019
bryant2003_BDIII_AvsC_0_Comp_1,Psychotherapy,PTSD,58,Depression,BDI-II,A vs C,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Supportive counseling,End of Treatment,0,Completer,,,,,,,p<0.01,,,,,,,,Community,,,1,0.52,,0.48,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. Imaginal exposure alone and imaginal exposure with cognitive restructuring in treatment of posttraumatic stress disorder. J Consult Clin Psychol. 2003 Aug;71(4):706.  PMID: 12924676.",25807,2019
bryant2003_BDIII_AvsC_26_Comp_1,Psychotherapy,PTSD,58,Depression,BDI-II,A vs C,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Supportive counseling,Assessment at 6 to <12 Months,26,Completer,,,,,,,p<0.01,,,,,,,,Community,,,1,0.52,,0.48,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. Imaginal exposure alone and imaginal exposure with cognitive restructuring in treatment of posttraumatic stress disorder. J Consult Clin Psychol. 2003 Aug;71(4):706.  PMID: 12924676.",25807,2019
bryant2003_BDIII_AvsC_26_ITT_1,Psychotherapy,PTSD,58,Depression,BDI-II,A vs C,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Supportive counseling,Assessment at 6 to <12 Months,26,ITT,,,,,,,p<0.05,,,,,,,,Community,,,1,0.52,,0.48,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. Imaginal exposure alone and imaginal exposure with cognitive restructuring in treatment of posttraumatic stress disorder. J Consult Clin Psychol. 2003 Aug;71(4):706.  PMID: 12924676.",25807,2019
bryant2003_BDIII_BvsC_26_Comp_1,Psychotherapy,PTSD,58,Depression,BDI-II,B vs C,Imaginal exposure vs Supportive counseling,Assessment at 6 to <12 Months,26,Completer,,,,,,,p<0.05,,,,,,,,Community,,,1,0.52,,0.48,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. Imaginal exposure alone and imaginal exposure with cognitive restructuring in treatment of posttraumatic stress disorder. J Consult Clin Psychol. 2003 Aug;71(4):706.  PMID: 12924676.",25807,2019
bryant2003_BDIII_Omnibus_0_Comp_1,Psychotherapy,PTSD,58,Depression,BDI-II,Omnibus,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Imaginal exposure vs Supportive counseling,End of Treatment,0,Completer,Main effect,,,,,,p<0.01,,,,,,,,Community,,,1,0.52,,0.48,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. Imaginal exposure alone and imaginal exposure with cognitive restructuring in treatment of posttraumatic stress disorder. J Consult Clin Psychol. 2003 Aug;71(4):706.  PMID: 12924676.",25807,2019
bryant2003_BDIII_Omnibus_0_ITT_1,Psychotherapy,PTSD,58,Depression,BDI-II,Omnibus,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Imaginal exposure vs Supportive counseling,End of Treatment,0,ITT,Main effect,,,,,,p=NS,,,,,,,,Community,,,1,0.52,,0.48,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. Imaginal exposure alone and imaginal exposure with cognitive restructuring in treatment of posttraumatic stress disorder. J Consult Clin Psychol. 2003 Aug;71(4):706.  PMID: 12924676.",25807,2019
bryant2003_BDIII_Omnibus_26_Comp_1,Psychotherapy,PTSD,58,Depression,BDI-II,Omnibus,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Imaginal exposure vs Supportive counseling,Assessment at 6 to <12 Months,26,Completer,Main effect,,,,,,p<0.01,,,,,,,,Community,,,1,0.52,,0.48,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. Imaginal exposure alone and imaginal exposure with cognitive restructuring in treatment of posttraumatic stress disorder. J Consult Clin Psychol. 2003 Aug;71(4):706.  PMID: 12924676.",25807,2019
bryant2003_BDIII_Omnibus_26_ITT_1,Psychotherapy,PTSD,58,Depression,BDI-II,Omnibus,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Imaginal exposure vs Supportive counseling,Assessment at 6 to <12 Months,26,ITT,Main effect,,,,,,p<0.05,,,,,,,,Community,,,1,0.52,,0.48,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. Imaginal exposure alone and imaginal exposure with cognitive restructuring in treatment of posttraumatic stress disorder. J Consult Clin Psychol. 2003 Aug;71(4):706.  PMID: 12924676.",25807,2019
bryant2003_STAIS_AvsC_0_Comp_1,Psychotherapy,PTSD,58,Anxiety,STAI-S,A vs C,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Supportive counseling,End of Treatment,0,Completer,,,,,,,p<0.01,,,,,,,,Community,,,1,0.52,,0.48,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. Imaginal exposure alone and imaginal exposure with cognitive restructuring in treatment of posttraumatic stress disorder. J Consult Clin Psychol. 2003 Aug;71(4):706.  PMID: 12924676.",25807,2019
bryant2003_STAIS_AvsC_26_Comp_1,Psychotherapy,PTSD,58,Anxiety,STAI-S,A vs C,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Supportive counseling,Assessment at 6 to <12 Months,26,Completer,,,,,,,p<0.01,,,,,,,,Community,,,1,0.52,,0.48,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. Imaginal exposure alone and imaginal exposure with cognitive restructuring in treatment of posttraumatic stress disorder. J Consult Clin Psychol. 2003 Aug;71(4):706.  PMID: 12924676.",25807,2019
bryant2003_STAIS_AvsC_26_ITT_1,Psychotherapy,PTSD,58,Anxiety,STAI-S,A vs C,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Supportive counseling,Assessment at 6 to <12 Months,26,ITT,,,,,,,p<0.05,,,,,,,,Community,,,1,0.52,,0.48,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. Imaginal exposure alone and imaginal exposure with cognitive restructuring in treatment of posttraumatic stress disorder. J Consult Clin Psychol. 2003 Aug;71(4):706.  PMID: 12924676.",25807,2019
bryant2003_STAIS_BvsC_0_Comp_1,Psychotherapy,PTSD,58,Anxiety,STAI-S,B vs C,Imaginal exposure vs Supportive counseling,End of Treatment,0,Completer,,,,,,,p<0.05,,,,,,,,Community,,,1,0.52,,0.48,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. Imaginal exposure alone and imaginal exposure with cognitive restructuring in treatment of posttraumatic stress disorder. J Consult Clin Psychol. 2003 Aug;71(4):706.  PMID: 12924676.",25807,2019
bryant2003_STAIS_BvsC_26_Comp_1,Psychotherapy,PTSD,58,Anxiety,STAI-S,B vs C,Imaginal exposure vs Supportive counseling,Assessment at 6 to <12 Months,26,Completer,,,,,,,p<0.01,,,,,,,,Community,,,1,0.52,,0.48,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. Imaginal exposure alone and imaginal exposure with cognitive restructuring in treatment of posttraumatic stress disorder. J Consult Clin Psychol. 2003 Aug;71(4):706.  PMID: 12924676.",25807,2019
bryant2003_STAIS_BvsC_26_ITT_1,Psychotherapy,PTSD,58,Anxiety,STAI-S,B vs C,Imaginal exposure vs Supportive counseling,Assessment at 6 to <12 Months,26,ITT,,,,,,,p<0.05,,,,,,,,Community,,,1,0.52,,0.48,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. Imaginal exposure alone and imaginal exposure with cognitive restructuring in treatment of posttraumatic stress disorder. J Consult Clin Psychol. 2003 Aug;71(4):706.  PMID: 12924676.",25807,2019
bryant2003_STAIS_Omnibus_0_Comp_1,Psychotherapy,PTSD,58,Anxiety,STAI-S,Omnibus,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Imaginal exposure vs Supportive counseling,End of Treatment,0,Completer,Main effect,,,,,,p<0.01,,,,,,,,Community,,,1,0.52,,0.48,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. Imaginal exposure alone and imaginal exposure with cognitive restructuring in treatment of posttraumatic stress disorder. J Consult Clin Psychol. 2003 Aug;71(4):706.  PMID: 12924676.",25807,2019
bryant2003_STAIS_Omnibus_0_ITT_1,Psychotherapy,PTSD,58,Anxiety,STAI-S,Omnibus,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Imaginal exposure vs Supportive counseling,End of Treatment,0,ITT,Treatment x Time interaction,,,,,,p=NS,,,,,,,,Community,,,1,0.52,,0.48,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. Imaginal exposure alone and imaginal exposure with cognitive restructuring in treatment of posttraumatic stress disorder. J Consult Clin Psychol. 2003 Aug;71(4):706.  PMID: 12924676.",25807,2019
bryant2003_STAIS_Omnibus_26_Comp_1,Psychotherapy,PTSD,58,Anxiety,STAI-S,Omnibus,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Imaginal exposure vs Supportive counseling,Assessment at 6 to <12 Months,26,Completer,Main effect,,,,,,p<0.01,,,,,,,,Community,,,1,0.52,,0.48,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. Imaginal exposure alone and imaginal exposure with cognitive restructuring in treatment of posttraumatic stress disorder. J Consult Clin Psychol. 2003 Aug;71(4):706.  PMID: 12924676.",25807,2019
bryant2003_STAIS_Omnibus_26_ITT_1,Psychotherapy,PTSD,58,Anxiety,STAI-S,Omnibus,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Imaginal exposure vs Supportive counseling,Assessment at 6 to <12 Months,26,ITT,Main effect,,,,,,p<0.05,,,,,,,,Community,,,1,0.52,,0.48,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. Imaginal exposure alone and imaginal exposure with cognitive restructuring in treatment of posttraumatic stress disorder. J Consult Clin Psychol. 2003 Aug;71(4):706.  PMID: 12924676.",25807,2019
bryant2008_BDIII_AvsB_0_Comp_1,Psychotherapy,PTSD,118,Depression,BDI-II,A vs B,Imaginal exposure vs In vivo exposure,End of Treatment,0,Completer,,Hedges' g,0,95% CI,-0.58,0.58,p=NS,,,,,,,,Community,,,1,,,,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",31196,2019
bryant2008_BDIII_AvsB_0_ITT_1,Psychotherapy,PTSD,118,Depression,BDI-II,A vs B,Imaginal exposure vs In vivo exposure,End of Treatment,0,ITT,,Hedges' g,0.33,95% CI,-0.18,0.85,p=NS,,,,,,,,Community,,,1,,,,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",31196,2019
bryant2008_BDIII_AvsB_26_Comp_1,Psychotherapy,PTSD,118,Depression,BDI-II,A vs B,Imaginal exposure vs In vivo exposure,Assessment at 6 to <12 Months,26,Completer,,Hedges' g,0.21,95% CI,-0.39,0.82,p=NS,,,,,,,,Community,,,1,,,,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",31196,2019
bryant2008_BDIII_AvsB_26_ITT_1,Psychotherapy,PTSD,118,Depression,BDI-II,A vs B,Imaginal exposure vs In vivo exposure,Assessment at 6 to <12 Months,26,ITT,,Hedges' g,0.06,95% CI,-0.45,0.57,,,,,,,,,Community,,,1,,,,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",31196,2019
bryant2008_BDIII_AvsC_0_Comp_1,Psychotherapy,PTSD,118,Depression,BDI-II,A vs C,Imaginal exposure vs Trauma-focused cognitive behavioral therapy (TF-CBT),End of Treatment,0,Completer,,Hedges' g,0.27,95% CI,-0.32,0.86,p=NS,,,,,,,,Community,,,1,,,,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",31196,2019
bryant2008_BDIII_AvsC_0_ITT_1,Psychotherapy,PTSD,118,Depression,BDI-II,A vs C,Imaginal exposure vs Trauma-focused cognitive behavioral therapy (TF-CBT),End of Treatment,0,ITT,,Hedges' g,,,,,p=NS,,,,,,,,Community,,,1,,,,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",31196,2019
bryant2008_BDIII_AvsC_26_Comp_1,Psychotherapy,PTSD,118,Depression,BDI-II,A vs C,Imaginal exposure vs Trauma-focused cognitive behavioral therapy (TF-CBT),Assessment at 6 to <12 Months,26,Completer,,Hedges' g,0.2,95% CI,-0.41,0.81,p=NS,,,,,,,,Community,,,1,,,,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",31196,2019
bryant2008_BDIII_AvsC_26_ITT_1,Psychotherapy,PTSD,118,Depression,BDI-II,A vs C,Imaginal exposure vs Trauma-focused cognitive behavioral therapy (TF-CBT),Assessment at 6 to <12 Months,26,ITT,,Hedges' g,0.3,95% CI,-0.2,0.8,,,,,,,,,Community,,,1,,,,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",31196,2019
bryant2008_BDIII_AvsD_0_Comp_1,Psychotherapy,PTSD,118,Depression,BDI-II,A vs D,Imaginal exposure vs Trauma-focused cognitive behavioral therapy (TF-CBT),End of Treatment,0,Completer,,Hedges' g,0.46,95% CI,-0.12,1.04,p=NS,,,,,,,,Community,,,1,,,,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",31196,2019
bryant2008_BDIII_AvsD_0_ITT_1,Psychotherapy,PTSD,118,Depression,BDI-II,A vs D,Imaginal exposure vs Trauma-focused cognitive behavioral therapy (TF-CBT),End of Treatment,0,ITT,,Hedges' g,0.7,95% CI,0.17,1.23,p=NS,,,,,,,,Community,,,1,,,,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",31196,2019
bryant2008_BDIII_AvsD_26_Comp_1,Psychotherapy,PTSD,118,Depression,BDI-II,A vs D,Imaginal exposure vs Trauma-focused cognitive behavioral therapy (TF-CBT),Assessment at 6 to <12 Months,26,Completer,,Hedges' g,0.24,95% CI,-0.37,0.85,p=NS,,,,,,,,Community,,,1,,,,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",31196,2019
bryant2008_BDIII_AvsD_26_ITT_1,Psychotherapy,PTSD,118,Depression,BDI-II,A vs D,Imaginal exposure vs Trauma-focused cognitive behavioral therapy (TF-CBT),Assessment at 6 to <12 Months,26,ITT,,Hedges' g,0.56,95% CI,0.04,1.08,p<0.05,,,,,,,,Community,,,1,,,,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",31196,2019
bryant2008_BDIII_BvsD_26_ITT_1,Psychotherapy,PTSD,118,Depression,BDI-II,B vs D,In vivo exposure vs Trauma-focused cognitive behavioral therapy (TF-CBT),Assessment at 6 to <12 Months,26,ITT,,Hedges' g,,,,,p<0.05,,,,,,,,Community,,,1,,,,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",31196,2019
bryant2008_BDIII_CvsD_26_ITT_1,Psychotherapy,PTSD,118,Depression,BDI-II,C vs D,Trauma-focused cognitive behavioral therapy (TF-CBT) vs Trauma-focused cognitive behavioral therapy (TF-CBT),Assessment at 6 to <12 Months,26,ITT,,Hedges' g,,,,,p<0.05,,,,,,,,Community,,,1,,,,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",31196,2019
bryant2008_STAIS_AvsB_0_Comp_1,Psychotherapy,PTSD,118,Anxiety,STAI-S,A vs B,Imaginal exposure vs In vivo exposure,End of Treatment,0,Completer,,Hedges' g,0.1,95% CI,-0.48,0.69,p=NS,,,,,,,,Community,,,1,,,,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",31196,2019
bryant2008_STAIS_AvsB_0_ITT_1,Psychotherapy,PTSD,118,Anxiety,STAI-S,A vs B,Imaginal exposure vs In vivo exposure,End of Treatment,0,ITT,,Hedges' g,0.02,95% CI,-0.49,0.53,p=NS,,,,,,,,Community,,,1,,,,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",31196,2019
bryant2008_STAIS_AvsB_26_Comp_1,Psychotherapy,PTSD,118,Anxiety,STAI-S,A vs B,Imaginal exposure vs In vivo exposure,Assessment at 6 to <12 Months,26,Completer,,Hedges' g,0.22,95% CI,-0.38,0.83,p=NS,,,,,,,,Community,,,1,,,,Mixed,"accidents, community/school violence",Medium,"Bryant RA, Moulds ML, Guthrie RM, et al. A randomized controlled trial of exposure therapy and cognitive restructuring for posttraumatic stress disorder. J Consult Clin Psychol. 2008 Aug;76(4):695-703. doi: 10.1037/a0012616. PMID: 18665697.",31196,2019
